millis,stamp,datetime,motion
999,1137769925, 2005/13/20 15:12:5, Active
1999,1137769926, 2005/13/20 15:12:6, Active
2999,1137769927, 2005/13/20 15:12:7, Active
3999,1137769928, 2005/13/20 15:12:8, Active
4999,1137769929, 2005/13/20 15:12:9, Active
5999,1137769930, 2005/13/20 15:12:10, Inactive
7000,1137769931, 2005/13/20 15:12:11, Inactive
7998,1137769932, 2005/13/20 15:12:12, Inactive
8999,1137769933, 2005/13/20 15:12:13, Inactive
9999,1137769934, 2005/13/20 15:12:14, Active
10999,1137769935, 2005/13/20 15:12:15, Active
11999,1137769936, 2005/13/20 15:12:16, Active
12999,1137769937, 2005/13/20 15:12:17, Active
13999,1137769938, 2005/13/20 15:12:18, Active
14998,1137769939, 2005/13/20 15:12:19, Active
16000,1137769940, 2005/13/20 15:12:20, Active
16999,1137769941, 2005/13/20 15:12:21, Active
17999,1137769942, 2005/13/20 15:12:22, Active
18999,1137769943, 2005/13/20 15:12:23, Active
19999,1137769944, 2005/13/20 15:12:24, Active
20999,1137769945, 2005/13/20 15:12:25, Active
21999,1137769946, 2005/13/20 15:12:26, Active
23000,1137769947, 2005/13/20 15:12:27, Inactive
23999,1137769948, 2005/13/20 15:12:28, Inactive
24999,1137769949, 2005/13/20 15:12:29, Inactive
25998,1137769950, 2005/13/20 15:12:30, Inactive
26999,1137769951, 2005/13/20 15:12:31, Inactive
27998,1137769952, 2005/13/20 15:12:32, Inactive
28999,1137769953, 2005/13/20 15:12:33, Inactive
29999,1137769954, 2005/13/20 15:12:34, Inactive
30998,1137769955, 2005/13/20 15:12:35, Inactive
32000,1137769956, 2005/13/20 15:12:36, Inactive
32999,1137769957, 2005/13/20 15:12:37, Inactive
33999,1137769958, 2005/13/20 15:12:38, Inactive
34999,1137769959, 2005/13/20 15:12:39, Inactive
35999,1137769960, 2005/13/20 15:12:40, Active
36999,1137769961, 2005/13/20 15:12:41, Active
37998,1137769962, 2005/13/20 15:12:42, Active
39000,1137769963, 2005/13/20 15:12:43, Active
39999,1137769964, 2005/13/20 15:12:44, Active
40999,1137769965, 2005/13/20 15:12:45, Active
41999,1137769966, 2005/13/20 15:12:46, Active
42999,1137769967, 2005/13/20 15:12:47, Active
44000,1137769968, 2005/13/20 15:12:48, Active
44999,1137769969, 2005/13/20 15:12:49, Active
45999,1137769970, 2005/13/20 15:12:50, Active
46999,1137769971, 2005/13/20 15:12:51, Active
48000,1137769972, 2005/13/20 15:12:52, Active
48998,1137769973, 2005/13/20 15:12:53, Inactive
49999,1137769974, 2005/13/20 15:12:54, Inactive
50999,1137769975, 2005/13/20 15:12:55, Inactive
51998,1137769976, 2005/13/20 15:12:56, Inactive
52999,1137769977, 2005/13/20 15:12:57, Inactive
53999,1137769978, 2005/13/20 15:12:58, Inactive
55000,1137769979, 2005/13/20 15:12:59, Inactive
55998,1137769980, 2005/13/20 15:13:0, Inactive
56999,1137769981, 2005/13/20 15:13:1, Inactive
57999,1137769982, 2005/13/20 15:13:2, Inactive
58999,1137769983, 2005/13/20 15:13:3, Inactive
59998,1137769984, 2005/13/20 15:13:4, Inactive
60999,1137769985, 2005/13/20 15:13:5, Inactive
61999,1137769986, 2005/13/20 15:13:6, Inactive
62999,1137769987, 2005/13/20 15:13:7, Inactive
63998,1137769988, 2005/13/20 15:13:8, Inactive
64999,1137769989, 2005/13/20 15:13:9, Inactive
65999,1137769990, 2005/13/20 15:13:10, Inactive
66999,1137769991, 2005/13/20 15:13:11, Inactive
67999,1137769992, 2005/13/20 15:13:12, Inactive
68999,1137769993, 2005/13/20 15:13:13, Inactive
69999,1137769994, 2005/13/20 15:13:14, Inactive
71000,1137769995, 2005/13/20 15:13:15, Inactive
71999,1137769996, 2005/13/20 15:13:16, Active
72999,1137769997, 2005/13/20 15:13:17, Active
73999,1137769998, 2005/13/20 15:13:18, Active
74999,1137769999, 2005/13/20 15:13:19, Active
75999,1137770000, 2005/13/20 15:13:20, Active
76999,1137770001, 2005/13/20 15:13:21, Active
78000,1137770002, 2005/13/20 15:13:22, Active
78999,1137770003, 2005/13/20 15:13:23, Active
80000,1137770004, 2005/13/20 15:13:24, Active
80999,1137770005, 2005/13/20 15:13:25, Active
81998,1137770006, 2005/13/20 15:13:26, Active
82999,1137770007, 2005/13/20 15:13:27, Active
83999,1137770008, 2005/13/20 15:13:28, Active
84999,1137770009, 2005/13/20 15:13:29, Inactive
85999,1137770010, 2005/13/20 15:13:30, Inactive
87000,1137770011, 2005/13/20 15:13:31, Inactive
87999,1137770012, 2005/13/20 15:13:32, Inactive
88998,1137770013, 2005/13/20 15:13:33, Inactive
89999,1137770014, 2005/13/20 15:13:34, Inactive
90998,1137770015, 2005/13/20 15:13:35, Inactive
91999,1137770016, 2005/13/20 15:13:36, Inactive
92999,1137770017, 2005/13/20 15:13:37, Inactive
93999,1137770018, 2005/13/20 15:13:38, Active
94999,1137770019, 2005/13/20 15:13:39, Active
96000,1137770020, 2005/13/20 15:13:40, Active
96999,1137770021, 2005/13/20 15:13:41, Active
97999,1137770022, 2005/13/20 15:13:42, Active
98998,1137770023, 2005/13/20 15:13:43, Active
